ilce_names,ilce_urls,city_names,city_urls
Adalar,adalar,İstanbul,istanbul
Arnavutköy,arnavutkoy,İstanbul,istanbul
Ataşehir,atasehir,İstanbul,istanbul
Avcılar,avcilar,İstanbul,istanbul
Bağcılar,bagcilar,İstanbul,istanbul
Bahçelievler,bahcelievler,İstanbul,istanbul
Bakırköy,bakirkoy,İstanbul,istanbul
Başakşehir,basaksehir,İstanbul,istanbul
Bayrampaşa,bayrampasa,İstanbul,istanbul
Beşiktaş,besiktas,İstanbul,istanbul
Beykoz,beykoz,İstanbul,istanbul
Beylikdüzü,beylikduzu,İstanbul,istanbul
Beyoğlu,beyoglu,İstanbul,istanbul
Büyükçekmece,buyukcekmece,İstanbul,istanbul
Çatalca,catalca,İstanbul,istanbul
Çekmeköy,cekmekoy,İstanbul,istanbul
Esenler,esenler,İstanbul,istanbul
Esenyurt,esenyurt,İstanbul,istanbul
Eyüpsultan,eyupsultan,İstanbul,istanbul
Fatih,fatih,İstanbul,istanbul
Gaziosmanpaşa,gaziosmanpasa,İstanbul,istanbul
Güngören,gungoren,İstanbul,istanbul
Kadıköy,kadikoy,İstanbul,istanbul
Kağıthane,kagithane,İstanbul,istanbul
Kartal,kartal,İstanbul,istanbul
Küçükçekmece,kucukcekmece,İstanbul,istanbul
Maltepe,maltepe,İstanbul,istanbul
Pendik,pendik,İstanbul,istanbul
Sancaktepe,sancaktepe,İstanbul,istanbul
Sarıyer,sariyer,İstanbul,istanbul
Silivri,silivri,İstanbul,istanbul
Sultanbeyli,sultanbeyli,İstanbul,istanbul
Sultangazi,sultangazi,İstanbul,istanbul
Şile,sile,İstanbul,istanbul
Şişli,sisli,İstanbul,istanbul
Tuzla,tuzla,İstanbul,istanbul
Ümraniye,umraniye,İstanbul,istanbul
Üsküdar,uskudar,İstanbul,istanbul
Zeytinburnu,zeytinburnu,İstanbul,istanbul
Akyurt,akyurt,Ankara,ankara
Altındağ,altindag,Ankara,ankara
Ayaş,ayas,Ankara,ankara
Bala,bala,Ankara,ankara
Beypazarı,beypazari,Ankara,ankara
Çamlıdere,camlidere,Ankara,ankara
Çankaya,cankaya,Ankara,ankara
Çubuk,cubuk,Ankara,ankara
Elmadağ,elmadag,Ankara,ankara
Etimesgut,etimesgut,Ankara,ankara
Evren,evren,Ankara,ankara
Gölbaşı,ankara-golbasi,Ankara,ankara
Güdül,gudul,Ankara,ankara
Haymana,haymana,Ankara,ankara
Kahramankazan,kahramankazan,Ankara,ankara
Kalecik,kalecik,Ankara,ankara
Keçiören,kecioren,Ankara,ankara
Kızılcahamam,kizilcahamam,Ankara,ankara
Mamak,mamak,Ankara,ankara
Nallıhan,nallihan,Ankara,ankara
Polatlı,polatli,Ankara,ankara
Pursaklar,pursaklar,Ankara,ankara
Sincan,sincan,Ankara,ankara
Şereflikoçhisar,sereflikochisar,Ankara,ankara
Yenimahalle,yenimahalle,Ankara,ankara
Aliağa,aliaga,İzmir,izmir
Balçova,balcova,İzmir,izmir
Bayındır,bayindir,İzmir,izmir
Bayraklı,bayrakli,İzmir,izmir
Bergama,bergama,İzmir,izmir
Beydağ,beydag,İzmir,izmir
Bornova,bornova,İzmir,izmir
Buca,buca,İzmir,izmir
Çeşme,cesme,İzmir,izmir
Çiğli,cigli,İzmir,izmir
Dikili,dikili,İzmir,izmir
Foça,foca,İzmir,izmir
Gaziemir,gaziemir,İzmir,izmir
Güzelbahçe,guzelbahce,İzmir,izmir
Karabağlar,karabaglar,İzmir,izmir
Karaburun,karaburun,İzmir,izmir
Karşıyaka,karsiyaka,İzmir,izmir
Kemalpaşa,kemalpasa,İzmir,izmir
Kınık,kinik,İzmir,izmir
Kiraz,kiraz,İzmir,izmir
Konak,konak,İzmir,izmir
Menderes,menderes,İzmir,izmir
Menemen,menemen,İzmir,izmir
Narlıdere,narlidere,İzmir,izmir
Ödemiş,odemis,İzmir,izmir
Seferihisar,seferihisar,İzmir,izmir
Selçuk,selcuk,İzmir,izmir
Tire,tire,İzmir,izmir
Torbalı,torbali,İzmir,izmir
Urla,urla,İzmir,izmir
Aladağ,aladag,Adana,adana
Ceyhan,ceyhan,Adana,adana
Çukurova,cukurova,Adana,adana
Feke,feke,Adana,adana
İmamoğlu,imamoglu,Adana,adana
Karaisalı,karaisali,Adana,adana
Karataş,karatas,Adana,adana
Kozan,kozan,Adana,adana
Pozantı,pozanti,Adana,adana
Saimbeyli,saimbeyli,Adana,adana
Sarıçam,saricam,Adana,adana
Seyhan,seyhan,Adana,adana
Tufanbeyli,tufanbeyli,Adana,adana
Yumurtalık,yumurtalik,Adana,adana
Yüreğir,yuregir,Adana,adana
Besni,besni,Adıyaman,adiyaman
Çelikhan,celikhan,Adıyaman,adiyaman
Gerger,gerger,Adıyaman,adiyaman
Gölbaşı,adiyaman-golbasi,Adıyaman,adiyaman
Kahta,kahta,Adıyaman,adiyaman
Merkez,adiyaman-merkez,Adıyaman,adiyaman
Samsat,samsat,Adıyaman,adiyaman
Sincik,sincik,Adıyaman,adiyaman
Tut,tut,Adıyaman,adiyaman
Başmakçı,basmakci,Afyonkarahisar,afyonkarahisar
Bayat,afyonkarahisar-bayat,Afyonkarahisar,afyonkarahisar
Bolvadin,bolvadin,Afyonkarahisar,afyonkarahisar
Çay,cay,Afyonkarahisar,afyonkarahisar
Çobanlar,cobanlar,Afyonkarahisar,afyonkarahisar
Dazkırı,dazkiri,Afyonkarahisar,afyonkarahisar
Dinar,dinar,Afyonkarahisar,afyonkarahisar
Emirdağ,emirdag,Afyonkarahisar,afyonkarahisar
Evciler,evciler,Afyonkarahisar,afyonkarahisar
Hocalar,hocalar,Afyonkarahisar,afyonkarahisar
İhsaniye,ihsaniye,Afyonkarahisar,afyonkarahisar
İscehisar,iscehisar,Afyonkarahisar,afyonkarahisar
Kızılören,kiziloren,Afyonkarahisar,afyonkarahisar
Merkez,afyonkarahisar-merkez,Afyonkarahisar,afyonkarahisar
Sandıklı,sandikli,Afyonkarahisar,afyonkarahisar
Sinanpaşa,sinanpasa,Afyonkarahisar,afyonkarahisar
Sultandağı,sultandagi,Afyonkarahisar,afyonkarahisar
Şuhut,suhut,Afyonkarahisar,afyonkarahisar
Diyadin,diyadin,Ağrı,agri
Doğubayazıt,dogubayazit,Ağrı,agri
Eleşkirt,eleskirt,Ağrı,agri
Hamur,hamur,Ağrı,agri
Merkez,agri-merkez,Ağrı,agri
Patnos,patnos,Ağrı,agri
Taşlıçay,taslicay,Ağrı,agri
Tutak,tutak,Ağrı,agri
Ağaçören,agacoren,Aksaray,aksaray
Eskil,eskil,Aksaray,aksaray
Gülağaç,gulagac,Aksaray,aksaray
Güzelyurt,aksaray-guzelyurt,Aksaray,aksaray
Merkez,aksaray-merkez,Aksaray,aksaray
Ortaköy,aksaray-ortakoy,Aksaray,aksaray
Sarıyahşi,sariyahsi,Aksaray,aksaray
Sultanhanı,sultanhani,Aksaray,aksaray
Göynücek,goynucek,Amasya,amasya
Gümüşhacıköy,gumushacikoy,Amasya,amasya
Hamamözü,hamamozu,Amasya,amasya
Merkez,amasya-merkez,Amasya,amasya
Merzifon,merzifon,Amasya,amasya
Suluova,suluova,Amasya,amasya
Taşova,tasova,Amasya,amasya
Akseki,akseki,Antalya,antalya
Aksu,antalya-aksu,Antalya,antalya
Alanya,alanya,Antalya,antalya
Demre,demre,Antalya,antalya
Döşemealtı,dosemealti,Antalya,antalya
Elmalı,elmali,Antalya,antalya
Finike,finike,Antalya,antalya
Gazipaşa,gazipasa,Antalya,antalya
Gündoğmuş,gundogmus,Antalya,antalya
İbradı,ibradi,Antalya,antalya
Kaş,kas,Antalya,antalya
Kemer,antalya-kemer,Antalya,antalya
Kepez,kepez,Antalya,antalya
Konyaaltı,konyaalti,Antalya,antalya
Korkuteli,korkuteli,Antalya,antalya
Kumluca,kumluca,Antalya,antalya
Manavgat,manavgat,Antalya,antalya
Muratpaşa,muratpasa,Antalya,antalya
Serik,serik,Antalya,antalya
Çıldır,cildir,Ardahan,ardahan
Damal,damal,Ardahan,ardahan
Göle,gole,Ardahan,ardahan
Hanak,hanak,Ardahan,ardahan
Merkez,ardahan-merkez,Ardahan,ardahan
Posof,posof,Ardahan,ardahan
Ardanuç,ardanuc,Artvin,artvin
Arhavi,arhavi,Artvin,artvin
Borçka,borcka,Artvin,artvin
Hopa,hopa,Artvin,artvin
Kemalpaşa,artvin-kemalpasa,Artvin,artvin
Merkez,artvin-merkez,Artvin,artvin
Murgul,murgul,Artvin,artvin
Şavşat,savsat,Artvin,artvin
Yusufeli,yusufeli,Artvin,artvin
Bozdoğan,bozdogan,Aydın,aydin
Buharkent,buharkent,Aydın,aydin
Çine,cine,Aydın,aydin
Didim,didim,Aydın,aydin
Efeler,efeler,Aydın,aydin
Germencik,germencik,Aydın,aydin
İncirliova,incirliova,Aydın,aydin
Karacasu,karacasu,Aydın,aydin
Karpuzlu,karpuzlu,Aydın,aydin
Koçarlı,kocarli,Aydın,aydin
Köşk,aydin-kosk,Aydın,aydin
Kuşadası,kusadasi,Aydın,aydin
Kuyucak,kuyucak,Aydın,aydin
Nazilli,nazilli,Aydın,aydin
Söke,soke,Aydın,aydin
Sultanhisar,sultanhisar,Aydın,aydin
Yenipazar,aydin-yenipazar,Aydın,aydin
Altıeylül,altieylul,Balıkesir,balikesir
Ayvalık,ayvalik,Balıkesir,balikesir
Balya,balya,Balıkesir,balikesir
Bandırma,bandirma,Balıkesir,balikesir
Bigadiç,bigadic,Balıkesir,balikesir
Burhaniye,burhaniye,Balıkesir,balikesir
Dursunbey,dursunbey,Balıkesir,balikesir
Edremit,balikesir-edremit,Balıkesir,balikesir
Erdek,erdek,Balıkesir,balikesir
Gömeç,gomec,Balıkesir,balikesir
Gönen,balikesir-gonen,Balıkesir,balikesir
Havran,havran,Balıkesir,balikesir
İvrindi,ivrindi,Balıkesir,balikesir
Karesi,karesi,Balıkesir,balikesir
Kepsut,kepsut,Balıkesir,balikesir
Manyas,manyas,Balıkesir,balikesir
Marmara,marmara,Balıkesir,balikesir
Savaştepe,savastepe,Balıkesir,balikesir
Sındırgı,sindirgi,Balıkesir,balikesir
Susurluk,susurluk,Balıkesir,balikesir
Amasra,amasra,Bartın,bartin
Kurucaşile,kurucasile,Bartın,bartin
Merkez,bartin-merkez,Bartın,bartin
Ulus,ulus,Bartın,bartin
Beşiri,besiri,Batman,batman
Gercüş,gercus,Batman,batman
Hasankeyf,hasankeyf,Batman,batman
Kozluk,kozluk,Batman,batman
Merkez,batman-merkez,Batman,batman
Sason,sason,Batman,batman
Aydıntepe,aydintepe,Bayburt,bayburt
Demirözü,demirozu,Bayburt,bayburt
Merkez,bayburt-merkez,Bayburt,bayburt
Bozüyük,bozuyuk,Bilecik,bilecik
Gölpazarı,golpazari,Bilecik,bilecik
İnhisar,inhisar,Bilecik,bilecik
Merkez,bilecik-merkez,Bilecik,bilecik
Osmaneli,osmaneli,Bilecik,bilecik
Pazaryeri,pazaryeri,Bilecik,bilecik
Söğüt,sogut,Bilecik,bilecik
Yenipazar,bilecik-yenipazar,Bilecik,bilecik
Adaklı,adakli,Bingöl,bingol
Genç,genc,Bingöl,bingol
Karlıova,karliova,Bingöl,bingol
Kiğı,kigi,Bingöl,bingol
Merkez,bingol-merkez,Bingöl,bingol
Solhan,solhan,Bingöl,bingol
Yayladere,yayladere,Bingöl,bingol
Yedisu,yedisu,Bingöl,bingol
Adilcevaz,adilcevaz,Bitlis,bitlis
Ahlat,ahlat,Bitlis,bitlis
Güroymak,guroymak,Bitlis,bitlis
Hizan,hizan,Bitlis,bitlis
Merkez,bitlis-merkez,Bitlis,bitlis
Mutki,mutki,Bitlis,bitlis
Tatvan,tatvan,Bitlis,bitlis
Dörtdivan,dortdivan,Bolu,bolu
Gerede,gerede,Bolu,bolu
Göynük,goynuk,Bolu,bolu
Kıbrıscık,kibriscik,Bolu,bolu
Mengen,mengen,Bolu,bolu
Merkez,bolu-merkez,Bolu,bolu
Mudurnu,mudurnu,Bolu,bolu
Seben,seben,Bolu,bolu
Yeniçağa,yenicaga,Bolu,bolu
Ağlasun,aglasun,Burdur,burdur
Altınyayla,burdur-altinyayla,Burdur,burdur
Bucak,bucak,Burdur,burdur
Çavdır,cavdir,Burdur,burdur
Çeltikçi,celtikci,Burdur,burdur
Gölhisar,golhisar,Burdur,burdur
Karamanlı,karamanli,Burdur,burdur
Kemer,burdur-kemer,Burdur,burdur
Merkez,burdur-merkez,Burdur,burdur
Tefenni,tefenni,Burdur,burdur
Yeşilova,yesilova,Burdur,burdur
Büyükorhan,buyukorhan,Bursa,bursa
Gemlik,gemlik,Bursa,bursa
Gürsu,gursu,Bursa,bursa
Harmancık,harmancik,Bursa,bursa
İnegöl,inegol,Bursa,bursa
İznik,iznik,Bursa,bursa
Karacabey,karacabey,Bursa,bursa
Keles,keles,Bursa,bursa
Kestel,kestel,Bursa,bursa
Mudanya,mudanya,Bursa,bursa
Mustafakemalpaşa,mustafakemalpasa,Bursa,bursa
Nilüfer,nilufer,Bursa,bursa
Orhaneli,orhaneli,Bursa,bursa
Orhangazi,orhangazi,Bursa,bursa
Osmangazi,osmangazi,Bursa,bursa
Yenişehir,bursa-yenisehir,Bursa,bursa
Yıldırım,yildirim,Bursa,bursa
Ayvacık,canakkale-ayvacik,Çanakkale,canakkale
Bayramiç,bayramic,Çanakkale,canakkale
Biga,biga,Çanakkale,canakkale
Bozcaada,bozcaada,Çanakkale,canakkale
Çan,can,Çanakkale,canakkale
Eceabat,eceabat,Çanakkale,canakkale
Ezine,ezine,Çanakkale,canakkale
Gelibolu,gelibolu,Çanakkale,canakkale
Gökçeada,gokceada,Çanakkale,canakkale
Lapseki,lapseki,Çanakkale,canakkale
Merkez,canakkale-merkez,Çanakkale,canakkale
Yenice,canakkale-yenice,Çanakkale,canakkale
Atkaracalar,atkaracalar,Çankırı,cankiri
Bayramören,bayramoren,Çankırı,cankiri
Çerkeş,cerkes,Çankırı,cankiri
Eldivan,eldivan,Çankırı,cankiri
Ilgaz,ilgaz,Çankırı,cankiri
Kızılırmak,kizilirmak,Çankırı,cankiri
Korgun,korgun,Çankırı,cankiri
Kurşunlu,kursunlu,Çankırı,cankiri
Merkez,cankiri-merkez,Çankırı,cankiri
Orta,orta,Çankırı,cankiri
Şabanözü,sabanozu,Çankırı,cankiri
Yapraklı,yaprakli,Çankırı,cankiri
Alaca,alaca,Çorum,corum
Bayat,corum-bayat,Çorum,corum
Boğazkale,bogazkale,Çorum,corum
Dodurga,dodurga,Çorum,corum
İskilip,iskilip,Çorum,corum
Kargı,kargi,Çorum,corum
Laçin,lacin,Çorum,corum
Mecitözü,mecitozu,Çorum,corum
Merkez,corum-merkez,Çorum,corum
Oğuzlar,oguzlar,Çorum,corum
Ortaköy,corum-ortakoy,Çorum,corum
Osmancık,osmancik,Çorum,corum
Sungurlu,sungurlu,Çorum,corum
Uğurludağ,ugurludag,Çorum,corum
Acıpayam,acipayam,Denizli,denizli
Babadağ,babadag,Denizli,denizli
Baklan,baklan,Denizli,denizli
Bekilli,bekilli,Denizli,denizli
Beyağaç,beyagac,Denizli,denizli
Bozkurt,denizli-bozkurt,Denizli,denizli
Buldan,buldan,Denizli,denizli
Çal,cal,Denizli,denizli
Çameli,cameli,Denizli,denizli
Çardak,cardak,Denizli,denizli
Çivril,civril,Denizli,denizli
Güney,guney,Denizli,denizli
Honaz,honaz,Denizli,denizli
Kale,denizli-kale,Denizli,denizli
Merkezefendi,merkezefendi,Denizli,denizli
Pamukkale,pamukkale,Denizli,denizli
Sarayköy,saraykoy,Denizli,denizli
Serinhisar,serinhisar,Denizli,denizli
Tavas,tavas,Denizli,denizli
Bağlar,baglar,Diyarbakır,diyarbakir
Bismil,bismil,Diyarbakır,diyarbakir
Çermik,cermik,Diyarbakır,diyarbakir
Çınar,cinar,Diyarbakır,diyarbakir
Çüngüş,cungus,Diyarbakır,diyarbakir
Dicle,dicle,Diyarbakır,diyarbakir
Eğil,egil,Diyarbakır,diyarbakir
Ergani,ergani,Diyarbakır,diyarbakir
Hani,hani,Diyarbakır,diyarbakir
Hazro,hazro,Diyarbakır,diyarbakir
Kayapınar,kayapinar,Diyarbakır,diyarbakir
Kocaköy,kocakoy,Diyarbakır,diyarbakir
Kulp,kulp,Diyarbakır,diyarbakir
Lice,lice,Diyarbakır,diyarbakir
Silvan,silvan,Diyarbakır,diyarbakir
Sur,sur,Diyarbakır,diyarbakir
Yenişehir,diyarbakir-yenisehir,Diyarbakır,diyarbakir
Akçakoca,akcakoca,Düzce,duzce
Cumayeri,cumayeri,Düzce,duzce
Çilimli,cilimli,Düzce,duzce
Gölyaka,golyaka,Düzce,duzce
Gümüşova,gumusova,Düzce,duzce
Kaynaşlı,kaynasli,Düzce,duzce
Merkez,duzce-merkez,Düzce,duzce
Yığılca,yigilca,Düzce,duzce
Enez,enez,Edirne,edirne
Havsa,havsa,Edirne,edirne
İpsala,ipsala,Edirne,edirne
Keşan,kesan,Edirne,edirne
Lalapaşa,lalapasa,Edirne,edirne
Meriç,meric,Edirne,edirne
Merkez,edirne-merkez,Edirne,edirne
Süloğlu,suloglu,Edirne,edirne
Uzunköprü,uzunkopru,Edirne,edirne
Ağın,agin,Elazığ,elazig
Alacakaya,alacakaya,Elazığ,elazig
Arıcak,aricak,Elazığ,elazig
Baskil,baskil,Elazığ,elazig
Karakoçan,karakocan,Elazığ,elazig
Keban,keban,Elazığ,elazig
Kovancılar,kovancilar,Elazığ,elazig
Maden,maden,Elazığ,elazig
Merkez,elazig-merkez,Elazığ,elazig
Palu,palu,Elazığ,elazig
Sivrice,sivrice,Elazığ,elazig
Çayırlı,cayirli,Erzincan,erzincan
İliç,ilic,Erzincan,erzincan
Kemah,kemah,Erzincan,erzincan
Kemaliye,kemaliye,Erzincan,erzincan
Merkez,erzincan-merkez,Erzincan,erzincan
Otlukbeli,otlukbeli,Erzincan,erzincan
Refahiye,refahiye,Erzincan,erzincan
Tercan,tercan,Erzincan,erzincan
Üzümlü,uzumlu,Erzincan,erzincan
Aşkale,askale,Erzurum,erzurum
Aziziye,aziziye,Erzurum,erzurum
Çat,cat,Erzurum,erzurum
Hınıs,hinis,Erzurum,erzurum
Horasan,horasan,Erzurum,erzurum
İspir,ispir,Erzurum,erzurum
Karaçoban,karacoban,Erzurum,erzurum
Karayazı,karayazi,Erzurum,erzurum
Köprüköy,koprukoy,Erzurum,erzurum
Narman,narman,Erzurum,erzurum
Oltu,oltu,Erzurum,erzurum
Olur,olur,Erzurum,erzurum
Palandöken,palandoken,Erzurum,erzurum
Pasinler,pasinler,Erzurum,erzurum
Pazaryolu,pazaryolu,Erzurum,erzurum
Şenkaya,senkaya,Erzurum,erzurum
Tekman,tekman,Erzurum,erzurum
Tortum,tortum,Erzurum,erzurum
Uzundere,uzundere,Erzurum,erzurum
Yakutiye,yakutiye,Erzurum,erzurum
Alpu,alpu,Eskişehir,eskisehir
Beylikova,beylikova,Eskişehir,eskisehir
Çifteler,cifteler,Eskişehir,eskisehir
Günyüzü,gunyuzu,Eskişehir,eskisehir
Han,han,Eskişehir,eskisehir
İnönü,inonu,Eskişehir,eskisehir
Mahmudiye,mahmudiye,Eskişehir,eskisehir
Mihalgazi,mihalgazi,Eskişehir,eskisehir
Mihalıççık,mihaliccik,Eskişehir,eskisehir
Odunpazarı,odunpazari,Eskişehir,eskisehir
Sarıcakaya,saricakaya,Eskişehir,eskisehir
Seyitgazi,seyitgazi,Eskişehir,eskisehir
Sivrihisar,sivrihisar,Eskişehir,eskisehir
Tepebaşı,tepebasi,Eskişehir,eskisehir
Araban,araban,Gaziantep,gaziantep
İslahiye,islahiye,Gaziantep,gaziantep
Karkamış,karkamis,Gaziantep,gaziantep
Nizip,nizip,Gaziantep,gaziantep
Nurdağı,nurdagi,Gaziantep,gaziantep
Oğuzeli,oguzeli,Gaziantep,gaziantep
Şahinbey,sahinbey,Gaziantep,gaziantep
Şehitkamil,sehitkamil,Gaziantep,gaziantep
Yavuzeli,yavuzeli,Gaziantep,gaziantep
Alucra,alucra,Giresun,giresun
Bulancak,bulancak,Giresun,giresun
Çamoluk,camoluk,Giresun,giresun
Çanakçı,canakci,Giresun,giresun
Dereli,dereli,Giresun,giresun
Doğankent,dogankent,Giresun,giresun
